1,23.24
2,30.89
2,33.74
3,34.89
3,29.91
3,38
4,40
5,120
6,50
6,112
7,100
7,108
8,60
8,130
8,127
8,120
9,130
10,70
10,125
11,76
12,80
14,89
16,102
11,150
17,100
18,115
19,110
20,120
22,131
24,142
24,138
25,3
26,10
25,15
26,4
28,10
27,5
28,158
30,170
31,180
4,42.51
26,149.52
16,103.02
31,177.06
15,97.91
33,187.82
14,89.85
18,112.16
29,168.48
21,124.27
35,197.46
30,173.41
18,111.94
34,193.3
1,25.59
33,187.69
13,86.5
33,186.43
25,149.07
32,180.15
13,87.32
27,155.74
14,91.08
33,184.97
15,96.77
27,158.95
31,176.44
19,118.0
21,126.89
27,158.81
18,113.18
15,97.7
20,123.42
9,68.84
12,84.07
4,42.29
2,31.28
34,190.13
27,155.57
17,106.51
25,145.5
2,30.24
24,142.13
27,157.47
24,140.2
8,61.44
9,67.44
12,80.93
29,168.24
15,98.4
19,114.54
8,59.86
18,113.0
31,178.53
20,122.21
14,90.01
2,31.91
1,28.98
5,45.97
34,192.85
19,117.24
24,144.11
20,121.84
31,177.58
30,171.94
3,35.02
2,33.22
21,126.68
29,166.91
21,128.49
18,111.51
30,173.52
3,35.43
20,119.85
5,46.43
33,188.1
20,121.02
15,95.15
22,131.78
25,146.77
24,143.94
25,148.84
25,147.98
18,111.71
8,64.5
29,166.2
25,144.55
2,34.69
35,195.74
35,195.85
31,176.83
25,146.14
23,135.91
17,104.53
7,56.89
16,102.76
20,119.5
23,137.8
18,112.18
16,102.37
3,36.62
15,95.69
26,151.6
28,163.46
5,44.81
17,107.66
9,68.28
7,55.53
24,141.3
8,64.59
6,53.1
7,58.76
25,146.85
25,144.51
33,185.94
10,74.35
12,82.48
11,75.54
16,100.22
23,135.82
6,51.2
17,105.42
16,100.9
16,101.64
17,107.04
10,71.55
4,42.64
27,157.84
4,43.68
6,53.49
20,120.93
1,29.09
28,163.67
15,99.14
24,141.71
16,102.12
6,53.24
5,49.56
33,186.23
3,37.74
2,32.51
18,110.07
5,48.17
18,109.67
35,197.95
34,189.45
13,86.79
35,196.0
4,40.64
7,55.9
26,153.33
1,27.4
16,103.07
1,26.19
35,194.37
25,147.68
6,52.68
28,160.3
7,58.71
15,98.99
34,190.84
11,78.46
4,42.58
23,135.91
29,167.33
35,197.4
25,146.2
23,135.33
30,171.67
25,144.67
35,193.97
14,93.72
27,156.23
29,166.64
6,52.59
17,105.63
23,138.85
20,122.88
14,91.54
16,103.31
21,124.72
31,174.99
25,148.41
18,112.26
20,124.04
26,153.46
26,149.34
23,137.91
3,39.67
20,119.56
4,40.24
21,124.41
13,88.83
35,197.17
3,36.37
6,51.98
24,142.79
20,120.76
32,180.28
24,141.04
21,127.12
31,178.58
33,187.53
11,74.81
14,90.37
9,67.91
20,120.45
25,146.58
18,114.16
10,70.19
24,143.36
15,95.31
6,51.37
15,97.34
28,161.16
28,161.55
1,27.46
19,117.47
12,81.26
16,104.13
15,97.19
18,112.45
7,56.62
28,162.73
8,60.89
27,158.94
1,29.6
33,187.64
32,180.44
29,166.14
24,141.66
35,198.73
33,184.32
10,72.85
13,85.39
8,64.45
16,99.84
18,114.16
15,97.8
4,42.39
16,101.11
29,165.66
18,109.65
32,182.71
22,133.47
7,57.32
24,140.59
5,47.21
32,183.49
7,57.13
22,130.96
31,178.83
35,198.56
14,90.87
18,110.55
6,54.02
24,140.25
2,30.13
24,143.79
35,198.0
6,50.09
22,129.44
3,35.95
3,37.45
26,152.25
2,31.85
25,144.45
24,139.61
24,143.68
35,196.07
19,116.99
4,43.69
25,146.12
3,39.7
35,197.74
1,28.69
20,120.96
14,93.2
35,197.03
20,121.7
19,118.49
7,58.22
9,68.79
14,92.4
14,89.44
21,124.21
8,61.0
4,43.3
2,31.37
20,122.12
29,165.97
32,182.42
32,180.16
31,174.64
20,123.85
21,124.22
8,59.69
29,167.48
15,96.89
16,103.92
27,157.53
21,127.55
1,28.2
13,87.19
27,158.62
35,198.31
20,123.4
17,105.44
13,85.33
2,29.92
19,115.41
11,76.09
12,80.77
30,170.97
31,174.31
30,173.73
11,74.7
2,34.3
18,113.06
33,184.61
13,86.32
23,134.76
10,74.35
25,144.7
6,54.63
19,117.6
5,44.88
15,94.92
11,77.68
6,53.28
11,75.3
16,99.58
8,61.7
9,65.83
13,87.86
3,37.55
19,114.8
27,156.68
33,184.96
17,107.69
19,116.87
19,115.79
11,76.92
23,134.99
3,35.27
20,121.01
14,89.59
14,94.36
9,66.73
25,146.98
25,147.52
29,167.09
4,39.94
4,43.22
31,178.29
17,109.05
18,111.85
18,110.84
24,143.65
4,42.66
15,98.7
27,156.33
1,27.11
33,186.92
28,161.47
11,74.65
20,119.6
14,90.59
26,152.33
34,192.51
14,89.55
32,179.36
31,175.25
25,149.12
12,83.06
18,113.14
33,186.62
21,127.06
20,123.29
19,115.77
29,166.76
31,178.04
34,191.99
18,114.14
17,106.04
20,123.9
16,104.13
28,162.23
34,192.74
11,76.47
11,75.05
4,40.66
21,124.7
34,188.92
24,141.93
4,43.77
5,48.14
19,117.05
12,81.0
31,177.96
1,28.18
32,183.65
34,189.11
4,40.31
17,109.01
17,108.56
4,41.23
21,124.38
12,82.61
25,148.92
3,35.1
10,73.56
6,53.79
6,53.07
27,154.06
21,126.0
20,120.76
12,82.57
17,106.11
24,142.41
5,49.61
17,106.29
22,131.48
8,60.33
29,166.59
34,191.01
21,124.7
1,29.55
23,134.23
5,46.4
19,118.12
32,183.88
22,133.64
29,165.13
22,130.24
15,97.93
4,40.83
